addr	name	kind	module	class	attributed_by	size
004096b0	FUN_004096b0	gamemisc	ai	Helpers	caller-vote	141
00409740	FUN_00409740	gamemisc	game_misc	Unsorted_000	none	55
00409780	FUN_00409780	gamemisc	game_misc	Unsorted_000	none	669
00409ac0	FUN_00409ac0	gamemisc	game_misc	Unsorted_000	none	586
00409d10	FUN_00409d10	gamemisc	game_misc	Unsorted_000	none	94
00409de0	FUN_00409de0	gamemisc	ai	Helpers	caller-vote	126
00409e60	FUN_00409e60	gamemisc	entity	Helpers	caller-vote	189
00409f20	FUN_00409f20	gamemisc	entity	Helpers	caller-vote	678
0040a1d0	FUN_0040a1d0	gamemisc	world	Helpers	caller-vote	601
0040a430	FUN_0040a430	gamemisc	entity	Helpers	caller-vote	189
0040a4f0	FUN_0040a4f0	gamemisc	game_misc	Unsorted_000	none	680
0040a7a0	FUN_0040a7a0	gamemisc	ai	Helpers	caller-vote	76
0040a7f0	FUN_0040a7f0	gamemisc	game_misc	Unsorted_000	none	79
0040a840	FUN_0040a840	gamemisc	game_misc	Unsorted_000	none	17600
0040ef90	FUN_0040ef90	gamemisc	game_misc	Unsorted_000	none	48
0040efc0	FUN_0040efc0	gamemisc	game_misc	Unsorted_000	none	76
0040f0a0	FUN_0040f0a0	gamemisc	game_misc	Unsorted_000	none	192
0040f220	FUN_0040f220	gamemisc	game_misc	_helpers_wrapper	role:wrapper	116
0040f2b0	FUN_0040f2b0	gamemisc	ai	Helpers	caller-vote	61
0040f2f0	FUN_0040f2f0	gamemisc	ai	Helpers	caller-vote	377
0040f520	FUN_0040f520	gamemisc	game_misc	Unsorted_000	none	128
0040f5a0	FUN_0040f5a0	gamemisc	ai	Helpers	caller-vote	99
0040f610	FUN_0040f610	gamemisc	game_misc	Unsorted_000	none	60
0040f650	FUN_0040f650	gamemisc	ai	Helpers	caller-vote	59
0040f690	FUN_0040f690	gamemisc	ai	Helpers	caller-vote	55
0040f6d0	ret_const_40f6d0	gamemisc	game_misc	_helpers_stub	role:stub	5
0040f6e0	FUN_0040f6e0	gamemisc	game_misc	Unsorted_000	none	48
0040f710	FUN_0040f710	gamemisc	ai	Helpers	caller-vote	218
0040f7f0	FUN_0040f7f0	gamemisc	game_misc	Unsorted_000	none	38
0040f8b0	FUN_0040f8b0	gamemisc	game_misc	Unsorted_000	none	54
0040f8f0	FUN_0040f8f0	gamemisc	game_misc	_indirect_dispatch-target	role:dispatch-target	416
0040fb20	FUN_0040fb20	gamemisc	ai	Helpers	caller-vote	155
0040fc30	FUN_0040fc30	gamemisc	ai	Helpers	caller-vote	177
0040fcf0	FUN_0040fcf0	gamemisc	ai	Helpers	caller-vote	121
0040fda0	FUN_0040fda0	gamemisc	ai	Helpers	caller-vote	559
0040ffe0	FUN_0040ffe0	gamemisc	game_misc	Unsorted_000	none	43
00410010	FUN_00410010	gamemisc	ai	Helpers	caller-vote	637
00410290	FUN_00410290	gamemisc	ai	Helpers	caller-vote	268
004103a0	FUN_004103a0	gamemisc	game_misc	Unsorted_000	none	92
00410400	FUN_00410400	gamemisc	ai	Helpers	caller-vote	479
00410690	FUN_00410690	gamemisc	ai	Helpers	caller-vote	1740
00410f00	FUN_00410f00	gamemisc	ai	Helpers	caller-vote	134
00410f90	FUN_00410f90	gamemisc	ai	Helpers	caller-vote	173
00411040	FUN_00411040	gamemisc	game_misc	_helpers_wrapper	role:wrapper	67
00411090	unproven -- kind is GAME	gamemisc	game_misc	Game	ledger	52
004110d0	FUN_004110d0	gamemisc	game_misc	Unsorted_000	none	655
00411360	FUN_00411360	gamemisc	game_misc	Unsorted_000	none	472
00411540	FUN_00411540	gamemisc	game_misc	Unsorted_000	none	419
004116f0	FUN_004116f0	gamemisc	game_misc	Unsorted_000	none	70
00411740	FUN_00411740	gamemisc	ai	Helpers	caller-vote	186
00411800	FUN_00411800	gamemisc	ai	Helpers	caller-vote	704
00411ad0	FUN_00411ad0	gamemisc	game_misc	Unsorted_000	none	655
00411d60	FUN_00411d60	gamemisc	ai	Helpers	caller-vote	662
004120f0	FUN_004120f0	gamemisc	game_misc	Unsorted_000	none	83
00412150	FUN_00412150	gamemisc	ai	Helpers	caller-vote	427
00412300	FUN_00412300	gamemisc	ai	Helpers	caller-vote	586
00412550	FUN_00412550	gamemisc	game_misc	Unsorted_000	none	288
00412670	FUN_00412670	gamemisc	game_misc	Unsorted_000	none	148
00412710	FUN_00412710	gamemisc	world	_helpers_ctor-like	role:ctor-like	426
004128ba	Catch_All@004128ba	lib	_library	eh_funclets	eh	26
004128da	FUN_004128da	gamemisc	world	Helpers	caller-vote	90
