rva	name	size
abe7	?GetWeakReference@?QIWeakReferenceSource@Details@Platform@@?$Array@VRect@Foundation@Windows@@$00@3@WDM@$AAAP$AAUIWeakReference@23@XZ	10
abf1	?__abi_QueryInterface@?QObject@Platform@@?$Array@E$00@2@WBA@$AAGJAAVGuid@2@PAPAX@Z	10
abfb	?__abi_AddRef@?QObject@Platform@@?$WriteOnlyArray@VGuid@Platform@@$00@2@W7$AAGKXZ	10
ac05	?__abi_GetTrustLevel@?QObject@Platform@@?$Array@VDateTime@Foundation@Windows@@$00@2@WCA@$AAGJPAW4__abi_TrustLevel@@@Z	10
ac0f	?__abi_Release@?QObject@Platform@@?$Array@VDateTime@Foundation@Windows@@$00@2@WCA@$AAGKXZ	10
ac19	?__abi_AddRef@?QObject@Platform@@?$Array@I$00@2@WM@$AAGKXZ	10
ac23	?__abi_GetIids@?QObject@Platform@@WeakReferenceSource@Details@2@W3$AAGJPAKPAPAVGuid@2@@Z	10
ac2d	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@E$00@2@W3$AAGJPAPAUHSTRING__@@@Z	10
ac37	?__abi_GetTrustLevel@?QObject@Platform@@?$Array@VGuid@Platform@@$00@2@WEA@$AAGJPAW4__abi_TrustLevel@@@Z	10
ac41	?__abi_Release@?QObject@Platform@@?$Array@_W$00@2@WEA@$AAGKXZ	10
ac4b	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@E$00@2@W3$AAGJPAPAUHSTRING__@@@Z	10
ac55	?__abi_GetIids@?QObject@Platform@@?$WriteOnlyArray@E$00@2@W7$AAGJPAKPAPAVGuid@2@@Z	10
ac5f	?__abi_GetIids@?QObject@Platform@@?$Array@E$00@2@W7$AAGJPAKPAPAVGuid@2@@Z	10
ac69	?__abi_Release@?QObject@Platform@@?$WriteOnlyArray@VPoint@Foundation@Windows@@$00@2@W3$AAGKXZ	10
ac73	?__abi_Platform_Details_IWeakReferenceSource____abi_GetWeakReference@?QIWeakReferenceSource@Details@Platform@@?$Array@_J$00@3@WBM@$AAGJPAP$AAUIWeakReference@23@@Z	10
ac7d	?__abi_QueryInterface@?QObject@Platform@@?$Array@E$00@2@WBE@$AAGJAAVGuid@2@PAPAX@Z	10
ac87	?__abi_GetTrustLevel@?QObject@Platform@@?$Array@_K$00@2@W3$AAGJPAW4__abi_TrustLevel@@@Z	10
ac91	?__abi_Release@?QObject@Platform@@?$Array@VDateTime@Foundation@Windows@@$00@2@W3$AAGKXZ	10
ac9b	?__abi_GetRuntimeClassName@?QObject@Platform@@WeakReferenceSource@Details@2@W3$AAGJPAPAUHSTRING__@@@Z	10
aca5	?__abi_AddRef@?QObject@Platform@@?$WriteOnlyArray@_N$00@2@WM@$AAGKXZ	10
acaf	?__abi_Platform_Details_IWeakReferenceSource____abi_GetWeakReference@?QIWeakReferenceSource@Details@Platform@@?$Array@_N$00@3@WDM@$AAGJPAP$AAUIWeakReference@23@@Z	10
acb9	?__abi_AddRef@?QObject@Platform@@?$Array@VSize@Foundation@Windows@@$00@2@WBA@$AAGKXZ	10
acc3	?__abi_GetIids@?QObject@Platform@@WeakReferenceSource@Details@2@W7$AAGJPAKPAPAVGuid@2@@Z	10
accd	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@E$00@2@W7$AAGJPAPAUHSTRING__@@@Z	10
acd7	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@E$00@2@W7$AAGJPAPAUHSTRING__@@@Z	10
ace1	?__abi_Release@?Q__abi_IUnknown@@WeakReferenceSource@Details@Platform@@W3$AAGKXZ	10
aceb	?__abi_Platform_IDisposable____abi_<Dispose>@?QIDisposable@Platform@@?$WriteOnlyArray@VGuid@Platform@@$00@2@W3$AAGJXZ	10
acf5	?__abi_GetIids@?QObject@Platform@@?$Array@E$00@2@WM@$AAGJPAKPAPAVGuid@2@@Z	10
acff	?__abi_Release@?QObject@Platform@@?$WriteOnlyArray@I$00@2@W7$AAGKXZ	10
ad09	?__abi_QueryInterface@?QObject@Platform@@?$Array@E$00@2@WBI@$AAGJAAVGuid@2@PAPAX@Z	10
ad13	?__abi_GetTrustLevel@OutOfBoundsException@Platform@@W7$AAGJPAW4__abi_TrustLevel@@@Z	10
ad1d	?__abi_Release@?QObject@Platform@@?$Array@_W$00@2@W7$AAGKXZ	10
ad27	?__abi_GetRuntimeClassName@?QObject@Platform@@WeakReferenceSource@Details@2@W7$AAGJPAPAUHSTRING__@@@Z	10
ad31	?__abi_AddRef@?QObject@Platform@@?$WriteOnlyArray@P$AAVObject@Platform@@$00@2@WBA@$AAGKXZ	10
ad3b	?<Dispose>@?QIDisposable@Platform@@?$WriteOnlyArray@VSize@Foundation@Windows@@$00@2@W3$AAAXXZ	10
ad45	?__abi_AddRef@?QObject@Platform@@?$Array@VTimeSpan@Foundation@Windows@@$00@2@WBE@$AAGKXZ	10
ad4f	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@E$00@2@WM@$AAGJPAPAUHSTRING__@@@Z	10
ad59	?__abi_Release@?Q__abi_IUnknown@@WeakReferenceSource@Details@Platform@@W7$AAGKXZ	10
ad63	?__abi_GetIids@?QObject@Platform@@?$WriteOnlyArray@E$00@2@WBA@$AAGJPAKPAPAVGuid@2@@Z	10
ad6d	?__abi_GetIids@?QObject@Platform@@?$Array@E$00@2@WBA@$AAGJPAKPAPAVGuid@2@@Z	10
ad77	?__abi_Platform_IDisposable____abi_<Dispose>@?QIDisposable@Platform@@?$Array@VTimeSpan@Foundation@Windows@@$00@2@WM@$AAGJXZ	10
ad81	?__abi_Release@?QObject@Platform@@?$WriteOnlyArray@VSize@Foundation@Windows@@$00@2@WM@$AAGKXZ	10
ad8b	?__abi_QueryInterface@?QObject@Platform@@?$Array@E$00@2@WBM@$AAGJAAVGuid@2@PAPAX@Z	10
ad95	?__abi_GetTrustLevel@?QObject@Platform@@?$Array@VSize@Foundation@Windows@@$00@2@WM@$AAGJPAW4__abi_TrustLevel@@@Z	10
ad9f	?__abi_Release@?QObject@Platform@@?$Array@_N$00@2@WM@$AAGKXZ	10
ada9	?__abi_QueryInterface@?QObject@Platform@@?$Array@E$00@2@WDM@$AAGJAAVGuid@2@PAPAX@Z	10
adb3	?__abi_AddRef@?QObject@Platform@@?$Array@M$00@2@WBI@$AAGKXZ	10
